Data;Vazao
01/01/1984;2192
01/02/1984;1315
01/03/1984;994
01/04/1984;914
01/05/1984;861
01/06/1984;577
01/07/1984;466
01/08/1984;482
01/09/1984;547
01/10/1984;424
01/11/1984;631
01/12/1984;1326
01/01/1985;2594
01/02/1985;2210
01/03/1985;2434
01/04/1985;1343
01/05/1985;881
01/06/1985;680
01/07/1985;565
01/08/1985;476
01/09/1985;503
01/10/1985;470
01/11/1985;759
01/12/1985;1036
01/01/1986;1716
01/02/1986;1540
01/03/1986;1365
01/04/1986;806
01/05/1986;833
01/06/1986;555
01/07/1986;565
01/08/1986;590
01/09/1986;369
01/10/1986;294
01/11/1986;343
01/12/1986;1700
01/01/1987;1945
01/02/1987;1757
01/03/1987;1209
01/04/1987;1232
01/05/1987;838
01/06/1987;703
01/07/1987;548
01/08/1987;434
01/09/1987;573
01/10/1987;459
01/11/1987;590
01/12/1987;1345
01/01/1988;1303
01/02/1988;1788
01/03/1988;1421
01/04/1988;843
01/05/1988;713
01/06/1988;645
01/07/1988;435
01/08/1988;384
01/09/1988;321
01/10/1988;563
01/11/1988;655
01/12/1988;810
01/01/1989;1795
01/02/1989;1580
01/03/1989;1619
01/04/1989;893
01/05/1989;596
01/06/1989;553
01/07/1989;487
01/08/1989;476
01/09/1989;487
01/10/1989;437
01/11/1989;512
01/12/1989;1128
01/01/1990;1364
01/02/1990;639
01/03/1990;1086
01/04/1990;723
01/05/1990;630
01/06/1990;428
01/07/1990;432
01/08/1990;405
01/09/1990;462
01/10/1990;443
01/11/1990;384
01/12/1990;591
01/01/1991;1926
01/02/1991;1981
01/03/1991;1764
01/04/1991;1915
01/05/1991;1032
01/06/1991;677
01/07/1991;579
01/08/1991;425
01/09/1991;390
01/10/1991;666
01/11/1991;458
01/12/1991;809
01/01/1992;2875
01/02/1992;2406
01/03/1992;1408
01/04/1992;1052
01/05/1992;1003
01/06/1992;614
01/07/1992;597
01/08/1992;448
01/09/1992;695
01/10/1992;796
01/11/1992;1298
01/12/1992;1188
01/01/1993;1301
01/02/1993;1938
01/03/1993;1512
01/04/1993;1103
01/05/1993;717
01/06/1993;727
01/07/1993;502
01/08/1993;435
01/09/1993;457
01/10/1993;566
01/11/1993;437
01/12/1993;705
01/01/1994;1927
01/02/1994;845
01/03/1994;1224
01/04/1994;775
01/05/1994;868
01/06/1994;563
01/07/1994;458
01/08/1994;352
01/09/1994;273
01/10/1994;306
01/11/1994;460
01/12/1994;1062
01/01/1995;924
01/02/1995;2788
01/03/1995;1193
01/04/1995;998
01/05/1995;741
01/06/1995;532
01/07/1995;471
01/08/1995;311
01/09/1995;273
01/10/1995;637
01/11/1995;617
01/12/1995;988
01/01/1996;1928
01/02/1996;1231
01/03/1996;1431
01/04/1996;829
01/05/1996;664
01/06/1996;499
01/07/1996;442
01/08/1996;389
01/09/1996;681
01/10/1996;518
01/11/1996;1455
01/12/1996;1736
01/01/1997;3621
01/02/1997;1824
01/03/1997;1498
01/04/1997;1066
01/05/1997;765
01/06/1997;863
01/07/1997;578
01/08/1997;437
01/09/1997;405
01/10/1997;502
01/11/1997;715
01/12/1997;1185
01/01/1998;1191
01/02/1998;1248
01/03/1998;965
01/04/1998;676
01/05/1998;571
01/06/1998;513
01/07/1998;362
01/08/1998;360
01/09/1998;260
01/10/1998;501
01/11/1998;525
01/12/1998;1010
01/01/1999;1681
01/02/1999;1410
01/03/1999;1545
01/04/1999;754
01/05/1999;531
01/06/1999;502
01/07/1999;400
01/08/1999;278
01/09/1999;290
01/10/1999;210
01/11/1999;335
01/12/1999;796
01/01/2000;2248
01/02/2000;1817
01/03/2000;1376
01/04/2000;811
01/05/2000;540
01/06/2000;493
01/07/2000;419
01/08/2000;380
01/09/2000;558
01/10/2000;302
01/11/2000;703
01/12/2000;1013
01/01/2001;896
01/02/2001;713
01/03/2001;628
01/04/2001;494
01/05/2001;374
01/06/2001;294
01/07/2001;250
01/08/2001;217
01/09/2001;272
01/10/2001;400
01/11/2001;567
01/12/2001;1029
01/01/2002;1240
01/02/2002;1982
01/03/2002;1147
01/04/2002;641
01/05/2002;512
01/06/2002;420
01/07/2002;381
01/08/2002;308
01/09/2002;354
01/10/2002;222
01/11/2002;549
01/12/2002;998
01/01/2003;1882
01/02/2003;1396
01/03/2003;1072
01/04/2003;718
01/05/2003;531
01/06/2003;394
01/07/2003;385
01/08/2003;271
01/09/2003;261
01/10/2003;302
01/11/2003;433
01/12/2003;916
01/01/2004;1252
01/02/2004;1614
01/03/2004;1326
01/04/2004;1048
01/05/2004;761
01/06/2004;692
01/07/2004;564
01/08/2004;386
01/09/2004;294
01/10/2004;483
01/11/2004;520
01/12/2004;1526
